-3.955072506973680646e+01,-1.583616456414915774e+00,1.455835941567442671e+00,1.295776142346315282e+04,4.995041936494487578e-02,0.000000000000000000e+00,-8.614877544000096421e+00,4.210259315000046598e+01,7.721313269426488546e-06
-3.954499539023957055e+01,-1.533995743324586103e+00,1.455843662880712097e+00,3.242945494589515079e+02,4.987548370808735781e-02,4.995041936494487578e-02,-8.614877474627865794e+00,4.210259359649758437e+01,5.997111948294886474e-04
-3.953927468897430231e+01,-1.484449427092708218e+00,1.456443374075541586e+00,1.112498275918479891e+02,4.995371324841264143e-02,9.982590307303224053e-02,-8.614877405364339324e+00,4.210259404232526492e+01,5.873225517181168698e-04
-3.953357477592155078e+01,-1.434821970392855972e+00,1.457030696627259703e+00,6.675387903393392719e+01,4.991449475759986154e-02,1.497796163214448750e-01,-8.614877336352506632e+00,4.210259448888306366e+01,1.219107616156511753e-03
-3.952790846327287966e+01,-1.385230139534598948e+00,1.458249804243416214e+00,4.170297307714106694e+01,4.992477127760516081e-02,1.996941110790447227e-01,-8.614877267747491629e+00,4.210259493512029394e+01,1.758602442656576059e-03
-3.952230145845219056e+01,-1.335621226181634258e+00,1.460008406686072790e+00,3.737780662309577195e+01,4.998616309167450145e-02,2.496188823566498904e-01,-8.614877199860547563e+00,4.210259538151123593e+01,6.118849731577835627e-04
-3.951677491704664646e+01,-1.285941513614830001e+00,1.460620291659230574e+00,5.819631385763634768e+01,4.993958060994939385e-02,2.996050454483243919e-01,-8.614877132947816207e+00,4.210259582853924343e+01,4.534947144732015545e-04
-3.951128389683957920e+01,-1.236304728781571383e+00,1.461073786373703776e+00,1.133689271654215389e+02,4.994974131598962225e-02,3.495446260582737996e-01,-8.614877066465158606e+00,4.210259627518097858e+01,2.419425004744901742e-04
-3.950581427459308514e+01,-1.186655359299019663e+00,1.461315728874178266e+00,5.290254205890594221e+02,5.001771703707016264e-02,3.994943673742634704e-01,-8.614877000241577321e+00,4.210259672193595293e+01,-5.589911793777435634e-04
-3.950034923763434591e+01,-1.136937099186259958e+00,1.460756737694800522e+00,9.167140313390194706e+01,4.997805826460812589e-02,4.495120844113336123e-01,-8.614876934073512516e+00,4.210259716931081897e+01,-1.305524756509468531e-03
